english_speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
ale,ah,4.210449391,12.545656037637219,15.638525718914538,30,0.18695087343488215,0.12314548911401246,15.999673707732974,0.018522493167425047,-0.170816133,-0.177467452
ale,ah,4.3669057547956625,13.289245982694686,16.28426098535286,40,-0.045595286,0.10685316115929311,16.63514933666234,1.9406122991762107,0.3984702885729874,0.18109575726947824
ale,ah,8.897399933840555,12.10858683926645,15.929871971636791,30,-0.431761356,-2.39999739,16.262873515263014,-1.350947171,0.3139237092567555,0.038589566824747124
ale,aa,8.839707932293397,11.519438202247192,15.978568908057243,214.656,0.2883179187981195,-0.550826806,16.34447546239791,-0.818081803,-1.660563202,-0.451096021
ale,ah,5.159581993569131,13.033819006806151,16.112120743034055,39,0.7107411128046941,0.084006729,16.466148467909047,0.7925263236455686,-0.759042887,0.21191108720467255
ale,ae,8.557369308600338,11.954045801526718,15.137591178965225,330,-0.136419179,0.3644567604308282,15.509994038100375,-1.213441381,2.485575649577383,1.4633519044755534
ale,ih,4.744098360655737,14.068147803857773,15.023016281062553,110,-0.321690901,0.11458458546696804,15.363500662835383,4.2163235246441975,-0.75966101,0.4624890599399105
ale,ah,5.168067496986741,12.799343252950232,15.801914257228317,70,0.03398299,0.17161657069510028,16.16029071783872,-0.03398299,0.051676425046190744,-0.063057688
ale,uh,4.691010682004929,7.7968484,15.69852597664116,50,-0.01772495,0.039090204,16.12282927878841,0.3833396004809462,-1.474159452,0.28206202806287806
ale,aa,7.343927927927927,11.577257974258533,14.814235217106697,183.882,-0.081533141,-0.596003771,15.17875018913619,-0.333308199,-0.217076259,-2.087910739
ale,iy,3.6399310641964666,8.931832288,15.051880341880342,260,-0.345796556,-3.361582671,15.41477211521174,3.3210983475682383,6.566961310803121,1.9045568476157548
ale,ae,5.134084507042253,12.959949302915083,15.496581161502155,120,0.3020845070422533,0.057647877,15.85125027919134,0.059398639,0.1436214092213266,0.15055764869614663
ale,aa,5.777619976589933,12.602852680895367,16.020804373291682,61.58,0.11260624571508071,-0.151381553,16.377472584726267,-0.358120175,0.17570847018376945,-0.140091925
ale,ah,5.040064672594988,13.939088774072335,16.01077975376197,51,-1.29777214,-0.406412021,16.345979564961805,2.769777155173026,-2.316717784,-0.64862725
ale,ae,5.040064672594988,14.096461859494552,16.463523257986175,80,0.3224774752211683,0.6926196639542432,16.811423172043995,0.6974802844026664,0.707757402,-0.027584704
ale,uw,3.7080068728522333,13.093651191969888,15.738856569709126,60,-0.067667645,-0.185952964,16.088432981140098,-0.175885661,-0.544406353,-0.486684482
ale,ae,7.599729825808745,12.617077483099324,15.03506098865825,210,-0.659831217,-0.070682476,15.392626784221575,-0.760203374,1.4624117205226863,0.8784761981636073
ale,ah,4.108016877637131,11.82001100715465,15.57129814550642,50,-0.065294018,-0.09879741,15.939251284189503,0.2039229216939722,0.2656075773942437,-0.286820221
